,CSV,N_Fold,N_Feat,Validation,Model,N_Class,Acc_Test,SD_Test
287,EEG_Q39S69N100,10,2,70:30,SVC,3,0.2,0.13333333333333336
288,EEG_Q39S69N100,10,4,LOO,RFC,2,0.5882352941176471,0.5072996561958923
289,EEG_Q39S69N100,10,4,LOO,RFC,3,0.35294117647058826,0.49259218307188896
290,EEG_Q39S69N100,10,4,LOO,LOG,2,0.6470588235294118,0.492592183071889
291,EEG_Q39S69N100,10,4,LOO,LOG,3,0.0,0.0
292,EEG_Q39S69N100,10,4,LOO,SVC,2,0.6470588235294118,0.492592183071889
293,EEG_Q39S69N100,10,4,LOO,SVC,3,0.0,0.0
294,EEG_Q39S69N100,10,4,80:20,RFC,2,0.6333333333333333,0.29186501192363773
295,EEG_Q39S69N100,10,4,80:20,RFC,3,0.36666666666666664,0.18921540406584889
296,EEG_Q39S69N100,10,4,80:20,LOG,2,0.6333333333333333,0.24595492912420727
297,EEG_Q39S69N100,10,4,80:20,LOG,3,0.16666666666666666,0.17568209223157663
298,EEG_Q39S69N100,10,4,80:20,SVC,2,0.6333333333333333,0.24595492912420727
299,EEG_Q39S69N100,10,4,80:20,SVC,3,0.16666666666666666,0.17568209223157663
300,EEG_Q39S69N100,10,4,70:30,RFC,2,0.54,0.13498971154211056
301,EEG_Q39S69N100,10,4,70:30,RFC,3,0.28,0.16865480854231357
302,EEG_Q39S69N100,10,4,70:30,LOG,2,0.62,0.19888578520235065
303,EEG_Q39S69N100,10,4,70:30,LOG,3,0.26,0.23190036174568116
304,EEG_Q39S69N100,10,4,70:30,SVC,2,0.62,0.2573367875415838
305,EEG_Q39S69N100,10,4,70:30,SVC,3,0.2,0.13333333333333336
306,EEG_Q39S69N100,10,6,LOO,RFC,2,0.5294117647058824,0.5144957554275266
307,EEG_Q39S69N100,10,6,LOO,RFC,3,0.29411764705882354,0.4696682183138621
308,EEG_Q39S69N100,10,6,LOO,LOG,2,0.6470588235294118,0.492592183071889
309,EEG_Q39S69N100,10,6,LOO,LOG,3,0.0,0.0
310,EEG_Q39S69N100,10,6,LOO,SVC,2,0.6470588235294118,0.492592183071889
311,EEG_Q39S69N100,10,6,LOO,SVC,3,0.0,0.0
312,EEG_Q39S69N100,10,6,80:20,RFC,2,0.6333333333333333,0.29186501192363773
313,EEG_Q39S69N100,10,6,80:20,RFC,3,0.3333333333333333,0.15713484026367722
